service_date,gtfs_route_id,gtfs_route_short_name,gtfs_route_desc,route_category,mode_type,peak_offpeak_ind,reliability_percentage
2023-05-24,553,553,Express Bus,Other Bus,Bus,PEAK,82.85714285714286
2023-05-24,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,53.333333333333336
2023-05-22,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,56.25
2023-05-22,553,553,Express Bus,Other Bus,Bus,PEAK,70.73170731707317
2023-05-20,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,50.0
2023-05-19,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,51.06382978723404
2023-05-19,553,553,Express Bus,Other Bus,Bus,PEAK,68.18181818181817
2023-05-18,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,53.68421052631579
2023-05-18,553,553,Express Bus,Other Bus,Bus,PEAK,52.38095238095239
2023-05-17,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,51.578947368421055
2023-05-17,553,553,Express Bus,Other Bus,Bus,PEAK,55.26315789473685
2023-05-16,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,60.824742268041234
2023-05-16,553,553,Express Bus,Other Bus,Bus,PEAK,66.66666666666666
2023-05-15,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,63.04347826086957
2023-05-15,553,553,Express Bus,Other Bus,Bus,PEAK,59.523809523809526
2023-05-13,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,50.0
2023-05-12,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,54.83870967741935
2023-05-12,553,553,Express Bus,Other Bus,Bus,PEAK,65.85365853658537
2023-05-11,553,553,Express Bus,Other Bus,Bus,PEAK,69.76744186046511
2023-05-11,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,53.68421052631579
2023-05-10,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,53.76344086021505
2023-05-10,553,553,Express Bus,Other Bus,Bus,PEAK,65.0
2023-05-09,553,553,Express Bus,Other Bus,Bus,PEAK,58.536585365853654
2023-05-09,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,47.31182795698925
2023-05-08,553,553,Express Bus,Other Bus,Bus,PEAK,51.21951219512195
2023-05-08,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,44.21052631578947
2023-05-06,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,66.07142857142857
2023-05-05,553,553,Express Bus,Other Bus,Bus,PEAK,47.5
2023-05-05,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,53.0
2023-05-04,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,55.10204081632652
2023-05-04,553,553,Express Bus,Other Bus,Bus,PEAK,60.86956521739131
2023-05-03,553,553,Express Bus,Other Bus,Bus,PEAK,52.63157894736842
2023-05-03,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,58.69565217391305
2023-05-02,553,553,Express Bus,Other Bus,Bus,PEAK,70.73170731707317
2023-05-02,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,62.637362637362635
2023-05-01,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,49.48453608247423
2023-05-01,553,553,Express Bus,Other Bus,Bus,PEAK,53.84615384615385
2023-04-29,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,85.45454545454545
2023-04-28,553,553,Express Bus,Other Bus,Bus,PEAK,58.536585365853654
2023-04-28,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,60.63829787234043
2023-04-27,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,44.9438202247191
